LFD113x-RU,RISC-V_Toolchain_and_Compiler_Optimization_Techniques_LFD113x_RU,Инструментарий и компиляторные оптимизации для RISC-V (LFD113x) RU
LFD112x-RU,Building_Applications_with_FreeRTOS_and_RISC-V_LFD112x_RU,Создание приложений на базе RISC-V и FreeRTOS (LFD112x) RU
